1223,1095,512,2829
1189,1079,478,2745
1165,1036,431,2631
1128,999,470,2596
1097,985,438,2520
1044,923,385,2352
1055,865,429,2349
1067,959,433,2458
1052,935,400,2388
1053,949,420,2422
960,869,434,2263
891,808,336,2035
992,807,400,2199
967,786,408,2160
934,758,339,2031
918,694,341,1952
831,686,335,1852
885,722,376,1983
718,658,261,1637
933,728,334,1995
850,697,311,1857
897,764,303,1964
861,713,313,1887
825,664,304,1793
817,694,341,1852
770,621,290,1681
818,658,299,1775
803,598,308,1710
729,572,366,1667
747,557,260,1564
743,551,327,1621
736,499,348,1582
705,541,315,1561
569,462,264,1294
606,443,268,1317
638,471,262,1371
583,441,312,1336
601,455,339,1395
471,428,278,1177
533,375,311,1218
536,363,290,1190
423,318,270,1011
538,355,304,1197
527,318,300,1144
419,290,289,998
487,288,304,1080
396,241,261,898
441,218,288,947
392,247,231,871
431,264,246,941
422,238,306,966
404,201,273,878
398,187,252,836
376,165,288,830
304,114,241,659
306,104,214,624
393,123,254,769
370,99,237,706
332,108,246,686
357,121,232,710
346,110,237,693
317,103,229,649
309,100,232,640
255,80,212,548
290,94,199,583
276,88,195,558
252,90,228,571
282,80,230,592
229,75,196,500
213,62,161,436
206,65,154,424
